SD0783,BGPC000019947P
SD0784,BGPC000019948P
SD0785,BGPC000019949P
SD0786,BGPC000019950P
SD0787,BGPC000019951P
SD0788,BGPC000019952P
SD0789,BGPC000019953P
SD0790,BGPC000019954P
SD0791,BGPC000019955P
SD0792,BGPC000019956P
SD0793,BGPC000019957P
SD0794,BGPC000019958P
SD0795,BGPC000019959P
SD0796,BGPC000019960P
SD0797,BGPC000019961P
SD0798,BGPC000019962P
SD0799,BGPC000019963P
SD0800,BGPC000019964P
SD0801,BGPC000019965P
SD0802,BGPC000019966P
SD0803,BGPC000019967P
SD0804,BGPC000019968P
SD0805,BGPC000019969P
SD0806,BGPC000019970P
SD0807,BGPC000019971P
SD0808,BGPC000019972P
SD0809,BGPC000019973P
SD0810,BGPC000019974P
SD0811,BGPC000019975P
SD0812,BGPC000019976P
SD0813,BGPC000019977P
SD0814,BGPC000019978P
SD0815,BGPC000019979P
SD0816,BGPC000019980P
SD0817,BGPC000019981P
SD0818,BGPC000019982P
SD0819,BGPC000019983P
SD0820,BGPC000019984P
SD0821,BGPC000019985P
SD0822,BGPC000019986P
SD0823,BGPC000019987P
SD0824,BGPC000019988P
SD0825,BGPC000020410P
SD0826,BGPC000020411P
SD0827,BGPC000020412P
SD0828,BGPC000020413P
SD0829,BGPC000020414P
SD0830,BGPC000020415P
SD0831,BGPC000020416P
SD0832,BGPC000020417P
SD0833,BGPC000020418P
SD0834,BGPC000020419P
SD0835,BGPC000020420P
SD0836,BGPC000020421P
SD0837,BGPC000020422P
SD0838,BGPC000020423P
SD0839,BGPC000020424P
SD0840,BGPC000020425P
SD0841,BGPC000020426P
SD0842,BGPC000020427P
SD0843,BGPC000020428P
SD0844,BGPC000020429P
SD0845,BGPC000020430P
SD0846,BGPC000020431P
SD0847,BGPC000020432P
SD0848,BGPC000020433P
SD0849,BGPC000020434P
SD0850,BGPC000020435P
SD0851,BGPC000020436P
SD0852,BGPC000020437P
SD0853,BGPC000020438P
SD0854,BGPC000020439P
SD0855,BGPC000020440P
SD0856,BGPC000020441P
SD0857,BGPC000020442P
SD0858,BGPC000020443P
SD0859,BGPC000020444P
SD0860,BGPC000020445P
SD0861,BGPC000020446P
SD0862,BGPC000020447P
SD0863,BGPC000020448P
SD0864,BGPC000020449P
SD0865,BGPC000020450P
SD0866,BGPC000020451P
SD0867,BGPC000020452P
SD0868,BGPC000020453P
